Num,Label,Value,Parm_StDev
243,Size_DblN_peak_FshLL(2)_DEVmult_2015,-0.195787,0.650448
244,Size_DblN_peak_FshLL(2)_DEVmult_2016,0.431538,0.853108
245,Size_DblN_peak_FshLL(2)_DEVmult_2017,0.440972,0.619366
246,Size_DblN_peak_FshLL(2)_DEVmult_2018,0.249119,0.586932
247,Size_DblN_peak_FshLL(2)_DEVmult_2019,0.344159,0.703773
248,Size_DblN_peak_FshLL(2)_DEVmult_2020,-1.08245,0.595549
249,Size_DblN_peak_FshLL(2)_DEVmult_2021,-0.62372,0.619043
250,Size_DblN_peak_FshLL(2)_DEVmult_2022,1.2207,0.912933
251,Size_DblN_ascend_se_FshLL(2)_DEVmult_1991,-0.186492,0.955781
252,Size_DblN_ascend_se_FshLL(2)_DEVmult_1992,-0.077719,0.934802
253,Size_DblN_ascend_se_FshLL(2)_DEVmult_1993,-0.0277429,0.94112
254,Size_DblN_ascend_se_FshLL(2)_DEVmult_1994,0.160527,0.930208
255,Size_DblN_ascend_se_FshLL(2)_DEVmult_1995,-0.365911,0.929812
256,Size_DblN_ascend_se_FshLL(2)_DEVmult_1996,0.078985,0.91017
257,Size_DblN_ascend_se_FshLL(2)_DEVmult_1997,0.0237758,0.942853
258,Size_DblN_ascend_se_FshLL(2)_DEVmult_1998,0.294576,0.863248
259,Size_DblN_ascend_se_FshLL(2)_DEVmult_1999,-0.149073,0.880029
260,Size_DblN_ascend_se_FshLL(2)_DEVmult_2000,1.43246,0.819065
261,Size_DblN_ascend_se_FshLL(2)_DEVmult_2001,0.00444601,0.871924
262,Size_DblN_ascend_se_FshLL(2)_DEVmult_2002,0.17194,0.891473
263,Size_DblN_ascend_se_FshLL(2)_DEVmult_2003,0.0982925,0.947789
264,Size_DblN_ascend_se_FshLL(2)_DEVmult_2004,0.921908,0.932155
265,Size_DblN_ascend_se_FshLL(2)_DEVmult_2005,-0.105683,0.937775
266,Size_DblN_ascend_se_FshLL(2)_DEVmult_2006,-0.273229,0.930587
267,Size_DblN_ascend_se_FshLL(2)_DEVmult_2007,-0.430692,0.9076
268,Size_DblN_ascend_se_FshLL(2)_DEVmult_2008,-0.0207398,0.910404
269,Size_DblN_ascend_se_FshLL(2)_DEVmult_2009,-0.381514,0.883534
270,Size_DblN_ascend_se_FshLL(2)_DEVmult_2010,-0.221307,0.864679
